STEP 1; EVENT position; UNIT Sim1; POSITION [4,4]
STEP 2; EVENT position; UNIT Sim1; POSITION [4,3]
STEP 3; EVENT position; UNIT Sim1; POSITION [3,3]
STEP 4; EVENT position; UNIT Sim1; POSITION [3,2]
STEP 5; EVENT position; UNIT Sim1; POSITION [3,1]
STEP 6; EVENT position; UNIT Sim1; POSITION [2,1]
STEP 7; EVENT position; UNIT Sim1; POSITION [2,2]
STEP 8; EVENT position; UNIT Sim1; POSITION [1,2]
STEP 9; EVENT position; UNIT Sim1; POSITION [1,1]
STEP 10; EVENT position; UNIT Sim1; POSITION [1,0]
STEP 11; EVENT position; UNIT Sim1; POSITION [0,0]
STEP 12; EVENT position; UNIT Sim1; POSITION [0,1]
STEP 13; EVENT position; UNIT Sim1; POSITION [0,2]
STEP 14; EVENT position; UNIT Sim1; POSITION [0,3]
STEP 15; EVENT position; UNIT Sim1; POSITION [1,3]
STEP 16; EVENT position; UNIT Sim1; POSITION [2,3]
STEP 17; EVENT position; UNIT Sim1; POSITION [2,4]
STEP 18; EVENT position; UNIT Sim1; POSITION [2,5]
STEP 19; EVENT position; UNIT Sim1; POSITION [1,5]
STEP 20; EVENT position; UNIT Sim1; POSITION [1,6]
STEP 21; EVENT position; UNIT Sim1; POSITION [2,6]
STEP 22; EVENT position; UNIT Sim1; POSITION [2,7]
STEP 23; EVENT position; UNIT Sim1; POSITION [1,7]
STEP 24; EVENT position; UNIT Sim1; POSITION [1,8]
STEP 25; EVENT position; UNIT Sim1; POSITION [2,8]
STEP 26; EVENT position; UNIT Sim1; POSITION [2,9]
STEP 27; EVENT position; UNIT Sim1; POSITION [2,10]
STEP 28; EVENT position; UNIT Sim1; POSITION [3,10]
STEP 29; EVENT position; UNIT Sim1; POSITION [3,9]
STEP 30; EVENT position; UNIT Sim1; POSITION [3,8]
STEP 31; EVENT position; UNIT Sim1; POSITION [3,7]
STEP 32; EVENT position; UNIT Sim1; POSITION [4,7]
STEP 33; EVENT position; UNIT Sim1; POSITION [4,6]
STEP 34; EVENT position; UNIT Sim1; POSITION [4,5]
STEP 35; EVENT position; UNIT Sim1; POSITION [5,5]
STEP 36; EVENT position; UNIT Sim1; POSITION [5,6]
STEP 37; EVENT position; UNIT Sim1; POSITION [6,6]
STEP 38; EVENT position; UNIT Sim1; POSITION [7,6]
STEP 39; EVENT position; UNIT Sim1; POSITION [8,6]
STEP 40; EVENT position; UNIT Sim1; POSITION [8,5]
STEP 41; EVENT position; UNIT Sim1; POSITION [9,5]
STEP 42; EVENT position; UNIT Sim1; POSITION [9,6]
STEP 43; EVENT position; UNIT Sim1; POSITION [9,5]
STEP 44; EVENT position; UNIT Sim1; POSITION [9,4]
STEP 45; EVENT position; UNIT Sim1; POSITION [9,3]
STEP 46; EVENT position; UNIT Sim1; POSITION [10,3]
STEP 47; EVENT position; UNIT Sim1; POSITION [10,2]
STEP 48; EVENT position; UNIT Sim1; POSITION [10,1]
STEP 49; EVENT position; UNIT Sim1; POSITION [10,0]
STEP 50; EVENT position; UNIT Sim1; POSITION [11,0]
STEP 51; EVENT position; UNIT Sim1; POSITION [12,0]
STEP 52; EVENT position; UNIT Sim1; POSITION [12,1]
STEP 53; EVENT position; UNIT Sim1; POSITION [11,1]
STEP 54; EVENT position; UNIT Sim1; POSITION [11,2]
STEP 55; EVENT position; UNIT Sim1; POSITION [11,3]
STEP 56; EVENT position; UNIT Sim1; POSITION [12,3]
STEP 57; EVENT position; UNIT Sim1; POSITION [12,2]
STEP 58; EVENT position; UNIT Sim1; POSITION [13,2]
STEP 59; EVENT position; UNIT Sim1; POSITION [13,3]
STEP 60; EVENT position; UNIT Sim1; POSITION [13,4]
STEP 61; EVENT position; UNIT Sim1; POSITION [12,4]
STEP 62; EVENT position; UNIT Sim1; POSITION [11,4]
STEP 63; EVENT position; UNIT Sim1; POSITION [11,5]
STEP 64; EVENT position; UNIT Sim1; POSITION [10,5]
STEP 65; EVENT position; UNIT Sim1; POSITION [10,4]
STEP 66; EVENT position; UNIT Sim1; POSITION [9,4]
STEP 67; EVENT position; UNIT Sim1; POSITION [8,4]
STEP 68; EVENT position; UNIT Sim1; POSITION [8,3]
STEP 69; EVENT position; UNIT Sim1; POSITION [7,3]
STEP 70; EVENT position; UNIT Sim1; POSITION [6,3]
STEP 71; EVENT position; UNIT Sim1; POSITION [6,2]
STEP 72; EVENT position; UNIT Sim1; POSITION [5,2]
STEP 73; EVENT position; UNIT Sim1; POSITION [4,2]
STEP 74; EVENT position; UNIT Sim1; POSITION [4,1]
STEP 75; EVENT position; UNIT Sim1; POSITION [5,1]
STEP 76; EVENT position; UNIT Sim1; POSITION [6,1]
STEP 77; EVENT position; UNIT Sim1; POSITION [7,1]
STEP 78; EVENT position; UNIT Sim1; POSITION [7,0]
STEP 79; EVENT position; UNIT Sim1; POSITION [6,0]
STEP 80; EVENT position; UNIT Sim1; POSITION [5,0]
STEP 81; EVENT position; UNIT Sim1; POSITION [4,0]
STEP 82; EVENT position; UNIT Sim1; POSITION [3,0]
STEP 83; EVENT position; UNIT Sim1; POSITION [2,0]
STEP 84; EVENT position; UNIT Sim1; POSITION [3,0]
STEP 85; EVENT position; UNIT Sim1; POSITION [3,1]
STEP 86; EVENT position; UNIT Sim1; POSITION [3,0]
STEP 87; EVENT position; UNIT Sim1; POSITION [2,0]
